City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.39,79,100,6.36,PN,1707178724
1,fale old settlement,-9.3852,-171.2468,28.85,79,92,11.97,TK,1707178754
2,port-aux-francais,-49.35,70.2167,6.11,78,98,12.71,TF,1707178722
3,port mathurin,-19.6833,63.4167,25.69,68,72,7.05,MU,1707178741
4,ad dabbah,18.05,30.95,15.1,19,87,6.37,SD,1707178881
5,arkhangel'sk,64.5401,40.5433,-24.93,82,0,1.0,RU,1707178746
6,puerto natales,-51.7236,-72.4875,10.44,72,56,0.11,CL,1707178738
7,bredasdorp,-34.5322,20.0403,21.33,80,22,1.35,ZA,1707178742
8,margaret river,-33.95,115.0667,16.36,63,49,3.99,AU,1707178762
9,edinburgh of the seven seas,-37.0676,-12.3116,15.71,63,1,1.46,SH,1707178732
10,iqaluit,63.7506,-68.5145,-17.15,77,75,1.54,CA,1707178807
11,lebu,-37.6167,-73.65,17.41,90,87,3.08,CL,1707178748
12,flin flon,54.7682,-101.865,-0.09,100,100,3.09,CA,1707178752
13,jamestown,42.097,-79.2353,-0.23,84,100,4.12,US,1707178728
14,marbella,36.5154,-4.8858,12.92,58,100,1.82,ES,1707178883
15,invercargill,-46.4,168.35,18.9,90,100,1.79,NZ,1707178710
16,college,64.8569,-147.8028,-12.89,73,40,1.54,US,1707178736
17,albany,42.6001,-73.9662,-0.91,48,1,0.45,US,1707178722
18,thunder bay,48.4001,-89.3168,0.99,93,75,2.57,CA,1707178884
19,morant bay,17.8815,-76.4093,25.79,89,38,7.24,JM,1707178884
20,grytviken,-54.2811,-36.5092,6.42,80,92,6.6,GS,1707178725
21,ancud,-41.8697,-73.8203,15.04,90,90,3.13,CL,1707178731
22,cabugao,17.7931,120.4578,27.16,69,56,1.3,PH,1707178885
23,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1707178581
24,baley,51.6,116.6333,-27.69,98,15,0.61,RU,1707178886
25,puerto baquerizo moreno,-0.9,-89.6,25.45,81,37,4.71,EC,1707178886
26,waitangi,-43.9535,-176.5597,18.79,87,98,7.79,NZ,1707178724
27,puerto ayora,-0.7393,-90.3518,25.86,94,73,0.89,EC,1707178739
28,nova sintra,14.8667,-24.7167,20.95,67,0,7.75,CV,1707178773
29,whitehorse,60.7161,-135.0538,-19.57,92,100,1.54,CA,1707178749
30,weno,7.4515,151.8468,29.97,66,40,6.69,FM,1707178782
31,ust-nera,64.5667,143.2,-29.14,84,100,0.51,RU,1707178771
32,sholokhovskiy,48.2807,41.0459,0.3,83,100,7.13,RU,1707178888
33,blackmans bay,-43.0167,147.3167,18.18,47,46,1.34,AU,1707178734
34,malango,-2.9627,119.9001,22.79,85,99,0.85,ID,1707178889
35,rosarito,32.3333,-117.0333,14.71,83,100,6.28,MX,1707178889
36,cabo san lucas,22.8909,-109.9124,28.12,36,20,5.14,MX,1707178761
37,kodiak,57.79,-152.4072,3.73,60,0,7.2,US,1707178781
38,mana,5.6592,-53.7767,26.21,86,100,4.75,GF,1707178890
39,chonchi,-42.6128,-73.8092,18.56,72,63,1.26,CL,1707178749
40,dudinka,69.4058,86.1778,-25.18,97,78,1.79,RU,1707178544
41,hilo,19.7297,-155.09,23.85,78,75,3.6,US,1707178770
42,la tuque,47.4334,-72.7824,-6.86,63,3,1.03,CA,1707178891
43,ribeira grande,38.5167,-28.7,17.65,93,100,5.81,PT,1707178739
44,winnemucca,40.973,-117.7357,10.03,43,100,2.06,US,1707178891
45,iringa,-7.7667,35.7,15.28,91,98,1.21,TZ,1707178892
46,papatowai,-46.5619,169.4708,20.35,62,100,3.56,NZ,1707178722
47,carnarvon,-24.8667,113.6333,28.79,32,10,10.73,AU,1707178727
48,bandarbeyla,9.4942,50.8122,24.77,77,64,5.08,SO,1707178892
49,bonthe,7.5264,-12.505,25.68,87,0,1.47,SL,1707178892
50,rongelap,11.1635,166.8941,26.53,82,80,9.23,MH,1707178851
51,vadso,70.0744,29.7487,-8.91,92,20,4.63,NO,1707178771
52,courtenay,49.6866,-124.9936,8.11,66,75,1.03,CA,1707178893
53,port douglas,-16.4833,145.4667,29.96,68,48,1.42,AU,1707178733
54,enewetak,11.3474,162.3373,26.58,72,94,7.45,MH,1707178789
55,bethel,41.3712,-73.414,2.05,45,0,5.14,US,1707178734
56,holualoa,19.6228,-155.9522,23.91,84,75,5.14,US,1707178779
57,chibuto,-24.6867,33.5306,22.11,97,13,1.39,MZ,1707178729
58,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707178784
59,saint-joseph,-21.3667,55.6167,21.21,74,77,3.01,RE,1707178895
60,lamu,-2.2717,40.902,26.55,84,53,4.45,KE,1707178895
61,tralee,52.2704,-9.7026,10.57,87,100,5.97,IE,1707178895
62,revda,56.801,59.9303,-5.6,93,87,3.18,RU,1707178802
63,longyearbyen,78.2186,15.6401,-4.09,74,40,5.14,SJ,1707178730
64,udachny,66.4167,112.4,-23.64,76,100,1.8,RU,1707178783
65,islamkot,24.6997,70.177,18.54,62,35,2.76,PK,1707178896
66,necochea,-38.5473,-58.7368,22.65,61,97,7.93,AR,1707178896
67,saint-pierre,-21.3393,55.4781,21.82,68,0,2.57,RE,1707178776
68,afaahiti,-17.75,-149.2833,23.93,89,100,9.77,PF,1707178791
69,tindouf,27.6711,-8.1474,12.25,40,0,3.09,DZ,1707178897
70,tsu,34.7303,136.5086,7.92,81,12,5.68,JP,1707178810
71,tocopilla,-22.092,-70.1979,23.85,71,1,0.54,CL,1707178897
72,inongo,-1.95,18.2667,22.14,92,99,2.78,CD,1707178898
73,santarem,-2.4431,-54.7083,28.07,83,0,2.06,BR,1707178898
74,taroa,8.7058,171.2275,27.37,78,100,7.73,MH,1707178898
75,vernon,50.2581,-119.2691,2.01,93,100,0.51,CA,1707178726
76,selfoss,63.9331,-20.9971,-13.26,85,3,4.11,IS,1707178844
77,hobyo,5.3505,48.5268,25.85,79,86,7.09,SO,1707178900
78,kenai,60.5544,-151.2583,-4.95,92,100,6.17,US,1707178900
79,prokop'yevsk,53.9059,86.719,-12.0,91,96,2.2,RU,1707178900
80,kirovskiy,45.0917,133.5136,-20.18,98,94,1.15,RU,1707178900
81,oroqen zizhiqi,50.5667,123.7167,-22.02,94,6,1.6,CN,1707178901
82,newman,37.3138,-121.0208,14.52,76,100,2.24,US,1707178770
83,san patricio,28.017,-97.5169,17.13,64,67,4.72,US,1707178801
84,boguchany,58.3814,97.4531,-12.23,99,95,1.51,RU,1707178901
85,jilove,50.7608,14.1038,9.12,74,99,6.06,CZ,1707178901
86,tiksi,71.6872,128.8694,-32.25,97,62,1.27,RU,1707178735
87,isafjordur,66.0755,-23.124,-8.39,77,100,5.12,IS,1707178723
88,new norfolk,-42.7826,147.0587,18.84,36,52,3.1,AU,1707178902
89,luanda,-8.8368,13.2343,28.0,89,75,2.06,AO,1707178761
90,arteche,12.2645,125.4048,26.16,84,100,4.76,PH,1707178902
91,malmberget,67.1753,20.6549,-11.69,85,75,1.54,SE,1707178903
92,tazovsky,67.4667,78.7,-25.2,100,72,4.15,RU,1707178744
93,kudahuvadhoo,2.6708,72.8944,27.63,80,79,7.22,MV,1707178903
94,susuman,62.7833,148.1667,-28.9,89,100,1.34,RU,1707178748
95,alice springs,-23.7,133.8833,28.45,28,3,7.72,AU,1707178691
96,promyshlennaya,54.9159,85.6385,-5.47,91,66,3.55,RU,1707178904
97,daura,11.5538,11.4085,17.08,21,54,4.73,NG,1707178904
98,happy valley-goose bay,53.3168,-60.3315,-12.83,78,75,4.63,CA,1707178754
99,lionel town,17.8101,-77.2406,25.94,86,43,6.13,JM,1707178803
100,shingu,33.7333,135.9833,7.39,71,29,3.18,JP,1707178905
101,ushuaia,-54.8,-68.3,10.81,54,0,4.12,AR,1707178737
102,olyokminsk,60.3736,120.4264,-21.98,94,93,0.93,RU,1707178905
103,hermanus,-34.4187,19.2345,21.56,86,40,2.22,ZA,1707178730
104,antalaha,-14.9003,50.2788,24.77,90,98,1.32,MG,1707178905
105,karratha,-20.7377,116.8463,28.98,58,14,3.28,AU,1707178812
106,domna,51.8971,113.1573,-30.91,69,20,0.0,RU,1707178906
107,hadibu,12.65,54.0333,24.24,77,6,3.09,YE,1707178761
108,uige,-7.6087,15.0613,19.69,97,99,0.21,AO,1707178906
109,shasta lake,40.6804,-122.3708,13.4,65,100,1.79,US,1707178907
110,scone,56.4194,-3.4051,9.05,82,100,1.79,GB,1707178907
111,yellowknife,62.456,-114.3525,-23.58,77,20,0.0,CA,1707178741
112,nouadhibou,20.931,-17.0347,20.99,40,8,4.63,MR,1707178761
113,kerikeri,-35.2268,173.9474,23.82,54,7,3.23,NZ,1707178608
114,pierre,44.3683,-100.351,7.14,81,0,4.12,US,1707178908
115,mejit,10.2753,170.8646,26.85,80,79,8.62,MH,1707178908
116,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,73,6.3,RU,1707178763
117,defiance,41.3334,-84.45,1.15,93,0,0.0,US,1707178908
118,olonkinbyen,70.9221,-8.7187,-1.58,71,63,6.77,SJ,1707178733
119,mount gambier,-37.8333,140.7667,18.78,42,4,3.56,AU,1707178636
120,kingston,17.997,-76.7936,26.23,94,75,4.63,JM,1707178783
121,avarua,-21.2078,-159.775,29.03,84,20,6.17,CK,1707178755
122,sainte-suzanne,-20.9061,55.6089,22.12,68,0,2.57,RE,1707178909
123,dire,12.2833,-10.9667,26.46,15,0,1.26,ML,1707178910
124,afumati,44.5167,26.2667,11.62,66,0,5.14,RO,1707178910
125,mar del plata,-38.0023,-57.5575,21.64,83,75,10.28,AR,1707178817
126,mildura,-34.2,142.15,20.04,44,0,8.39,AU,1707178821
127,puerto aysen,-45.4,-72.7,15.18,77,37,2.09,CL,1707178910
128,lerwick,60.1545,-1.1494,4.0,87,99,12.33,GB,1707178911
129,vila franca do campo,37.7167,-25.4333,18.27,99,95,6.09,PT,1707178821
130,jhusi,25.4333,81.9333,14.49,94,71,1.42,IN,1707178911
131,saipan,15.1355,145.701,27.39,65,75,6.17,MP,1707178800
132,constantia,44.1833,28.65,8.38,77,54,7.61,RO,1707178777
133,qaqortoq,60.7167,-46.0333,-21.09,70,0,2.98,GL,1707178738
134,flying fish cove,-10.4217,105.6791,24.82,94,99,0.0,CX,1707178755
